gender,message
male,How are those credit card statements and bank balances looking like after EDC ? <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BE><ed><U+00B4><U+00B7><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><U+200D><U+2642><U+FE0F>
male,Anyone who's having flight delays wanna do EDC Day 4 at the airport?
male,Who else agrees that the merch at EDC this year fucking sucked? <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
female,"If any of you lost an item at EDC and were unable to make contact with the Lost and Found department, please e-mail lostandfound@insomniac.com. They will auto respond with a claim form for you to fill out. The Lost and Found booth is still open, and will be open Tuesday until 4 pm. They are actively checking these claim forms against the inventory, and will be arranging for you to get your items returned to you. If you know of any other place to post this, feel free to copy/paste it."
male,"Ok. who cried and to what?For me it was axwell and ingrosso. It was their music which really reintroduced to the scene and when they played reload I broke down. And I'm crying now writing this because it's over. <ed><U+00A0><U+00BD><ed><U+00B8><U+00A2><ed><U+00A0><U+00BD><ed><U+00B8><U+00A2><ed><U+00A0><U+00BD><ed><U+00B8><U+00A2><ed><U+00A0><U+00BD><ed><U+00B8><U+00A2><ed><U+00A0><U+00BD><ed><U+00B8><U+00A2><ed><U+00A0><U+00BD><ed><U+00B8><U+00A2>"
female,So many people are sick with this head cold after EDC. Next year I will be taking massive immune boosters for several months before the festival. I hope others are doing better than me right now. <ed><U+00A0><U+00BD><ed><U+00B8><U+00A5><ed><U+00A0><U+00BD><ed><U+00B8><U+00B7>  Unfortunately not  everything that happens in Vegas stays there... Ugh
female,Someone in Vegas help me get weed or wax
male,"Water, free water #shuttle #downtown <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>"
male,"Hey Hey Hey, ride back to the airport that is extremely affordable and has a charging station inside! Order yourself a Lyft with this promo code EDCVEGAS2017"
female,"OK, what did we just watch ? LMAO !!!"
male,Who is the other Dj with slander??<ed><U+00A0><U+00BD><ed><U+00B9><U+008A>
female,"Really sorry for the people who aren't having a good time, but we are having a stellar time! Had dinner next to Armin on Friday at Mr. Chow and our friends met aoki on Saturday night! Anyone else having a good time this weekend!?! love to you all, if you see me with my wings, come say hello, I'll have some Kandi to give away! :)"
male,Hey guys good morning apparently my flight  got cancelled till tomorrow morning 8:00 am can any one help me please I'm low on funds wasn't expecting this just need somewhere to stay for the day please and thank you I'll give you what I can guys
male,"EDC doesnt have to be the only time you have fun , let go,  be yourself , forget everything , meet new friends , trade kandis , get fucked up . Lets try to make life as FUN as EDC . Have that EDC lifestyle  <ed><U+00A0><U+00BC><ed><U+00BE><U+0086> Im in a VIP travel club that pays you if you want ! Im in love with my job & want to help people TRAVEL & help children & people who need it . Im always looking for dope people to join me <ed><U+00A0><U+00BD><ed><U+00B2><U+00A6><ed><U+00A0><U+00BD><ed><U+00B2><U+00AB> MIAMI is next . Im leaving for LA on thursday ! Everyone's going to vacation this summer !! Who isn't ?? What if I can say I can help you get the cheapest price for all your expenses let me know <ed><U+00A0><U+00BD><ed><U+00B2><U+0081><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD> <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>  I DONT GIVE A FUCK what anyone says TRAVELING=EXPERIENCE  one of the few things that makes me feel alive <ed><U+00A0><U+00BD><ed><U+00B8><U+008E> Everyone says there looking for a purpose for life but maybe your just looking for an experience to make you feel alive on the physical level <ed><U+00A0><U+00BD><ed><U+00B8><U+008B> Don't be shy to dream about all the possibilities this world is so huge that whatever you think I'm pretty sure it's out there ! Just ask <ed><U+00A0><U+00BD><ed><U+00B8><U+00BB><U+2764><U+FE0F> Please#IGOTNOWFUCKWHOGOTNEXT LISTEN TO MY HOMIES MIX <ed><U+00A0><U+00BD><ed><U+00B2><U+00A6><ed><U+00A0><U+00BD><ed><U+00B2><U+00A6><ed><U+00A0><U+00BD><ed><U+00B2><U+00A6><ed><U+00A0><U+00BD><ed><U+00B2><U+00A6><ed><U+00A0><U+00BD><ed><U+00B2><U+00A6>https://soundcloud.com/geppettousa/geppetto-discofamhq-resident-mix/s-GUz8aAdd me on snap pocahotness10"
female,"To everybody saying EDC sucked this year: learn patience, understand that we're in the desert and it's hot, EAT A FULL MEAL EVERY DAY. Even if you're not hungry, force yourself to eat, Keep your water full at all times and remember to actually drink it! see who you want to see don't get stuck on trying to stay with your group of friends. I came alone to EDC this year and truly had the greatest weekend of my life. If anybody wants to chat personally, I'd be more than happy to share more tips <ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC>"
male,When you meet the coolest chick *or dude whatever* you've ever met at Edc n you probably never gonna meet again.. damn... At marshmello for me! <ed><U+00A0><U+00BD><ed><U+00B8><U+0098>
male,Samurai Siriacha
male,"Hey Hey Hey, ride back to the airport that is extremely affordable and has a charging station inside! Order yourself a Lyft with this promo code EDCVEGAS2017"
male,"So, y'all ready for EDC day 4?"
male,"Drake at EDC 2017..? The Death of EDC, thanks Pasquale."
male,Just a friendly reminder folks to make sure you air out and completely dry the inside of your camel pack including the the hose make sure you take both ends off so it'll dry properly or you'll end up with a moldy pack the next time you want to use it!
female,"Anyone still in Vegas and wanna have a ceremonial burning of the shuttle passes?? Kidding... <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> but seriously"
male,Anyone see this
male,Am I the only one who thought there weren't that many fireworks this year compared to the last couple years? I wanted to see more <ed><U+00A0><U+00BD><ed><U+00B8><U+0095>
male,Litty AF
male,Anyone at the Luxor hotel?
male,"Hey Hey Hey, ride back to the airport that is extremely affordable and has a charging station inside! Order yourself a Lyft with this promo code EDCVEGAS2017"
female,Whoever this kid was at the neon garden .. i wish i coukd dance like you lol gettttt ittt <ed><U+00A0><U+00BC><ed><U+00BE><U+00B6><ed><U+00A0><U+00BD><ed><U+00B5><U+00BA>
female,"Hey guys just to give you all a warning...if you used the atm next to the skydeck near the kinetic field...check your account. Someone stole $100 from me and i don't want any of you to get your crap stolen too. Rookie mistake i know <ed><U+00A0><U+00BD><ed><U+00B8><U+00A1>...lesson learned.  Spread the word to everyone!!! <U+270C><U+2764>Besides this b.s., my first year at edc was amazing and can't wait to see you all under the electric sky next year <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>."
male,Looking for a ride back to the airport that is extremely affordable and has a charging station inside? Order yourself a Lyft with this promo code!
male,Main Firework show to Seven Lions
male,"Ok. who cried and to what?For me it was axwell and ingrosso. It was their music which really reintroduced to the scene and when they played reload I broke down. And I'm crying now writing this because it's over. <ed><U+00A0><U+00BD><ed><U+00B8><U+00A2><ed><U+00A0><U+00BD><ed><U+00B8><U+00A2><ed><U+00A0><U+00BD><ed><U+00B8><U+00A2><ed><U+00A0><U+00BD><ed><U+00B8><U+00A2><ed><U+00A0><U+00BD><ed><U+00B8><U+00A2><ed><U+00A0><U+00BD><ed><U+00B8><U+00A2>"
male,Marshmello was so lit
male,Looking for a ride back to the airport that is extremely affordable and has a charging station inside? Order yourself a Lyft with this promo code!
male,Shout out to the old guy that kept roll killin me during Markus Schulz <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
male,https://djmag.com/news/edc-las-vegas-sets-ti‘sto-armin-van-buuren-major-lazer-more-watch
female,Out of curiosity- did anyone take Ubers this weekend? How much were they to the strip/did they have surcharges?
male,https://m.facebook.com/story.php?story_fbid=1395883197124250&id=136983996347516
male,Is anyone here at circus circus hotel & resort tryna chill?
male,"Thank you OneNOnlyent  the staff, and attendees who made one of lifes  monments so significant. From getting us there and going to bat for us, and all the wonderful friendships"
male,Anyonw still in vegas wanna hangout?
male,"Honestly fuck the Insomniac shuttlesIm asking for at least a partial refundThis shit was fucked upIf you also used the Village stopI am sorry <ed><U+00A0><U+00BD><ed><U+00B9><U+008F>"
male,Porter w/ fireworks! <ed><U+00A0><U+00BD><ed><U+00B8><U+00AE>
female,No fucking ac!!! On the shuttle bus ><
male,Looking for a ride back to the airport that is extremely affordable and has a charging station inside? Order yourself a Lyft with this promo code!
female,"<<<TECHNO FANS>>>Anyone not buy HYTE NYC 7/02 tickets yet? Now's the time! $20 off single tickets with code ""HRBRLOYAL"" valid till 5pm 6/20 (tomorrow!) 4 pk deal only $64.75! Limited time offer!Feel free to use and share my personal link. >>>> http://bit.ly/hyte-sara <U+263A><U+FE0F>https://youtu.be/YP8wGKQuXFk"
male,I need to find two girls for Diplo tonight at encore. To get on the guest list.
male,LOL good one
male,"Do any photographer's still in town want to go and shoot the Milky Way  at the painted rocks tonight? Also, I forgot my tripod so maybe we could share."
female,"Just a note to say that if you see one of your mates fitting from an overdose, don't just stand there and watch, get some help!!! Just towards the end of the Andy C set as I was walking out, I saw a guy having a seizure on the ground from an overdose, as his friends stood and watched not knowing what to do! I immediately went and got my boyfriend who is first aid trained and also the police. The police just kept trying to lift him off the floor and restrain him by his rucksack, but I pointed out the guy was in a fit still and was going BLUE from lack of oxygen. They tried to give CPR without checking he was breathing first??? He could've died. The police really didn't have a clue, so we took over and got his mouth opened, as he was biting his tongue with his teeth from the fit which was blocking his airways, squeezed his cheeks and pulled his tongue out and pressed it down to get the air in. He started breathing again after about 30 seconds and the colour started coming back to his face. We then had to flip him to the side as he sicked all over our hands. We waited for him to come round and the police eventually carried him off to see the medic. What I'm trying to say is that if you see something happening similar, don't wait, send one of your friends for help and check that your friends AIRWAYS ARE CLEAR!! Get their mouth open, get their tongue free, push it down, get the air into your friend. This guy was just lucky I was passing through. It was really scary, his girlfriend was mortified, but just don't stand around and watch!!!! It's not the way I wanted to end my awesome time after the Andy C set, but I'm hoping those involved are now ok and that this message might get out there."
female,"Stranded in Las Vegas, looking for a ride back to Monterey/Santa Cruz for 2 people either tonight or tomorrow! We can chip in for gas etc :)"
female,Anyone Zedd at Omnia tonight?
male,"I might just still be feeling high off my my EDC experience, but I wrote this impassioned plea today and I hope you read it."
male,Looking for a ride back to the airport that is extremely affordable and has a charging station inside? Order yourself a Lyft with this promo code!
male,Hey fam! So I need your help my bus left like 8 people here stranded and left earlier then the departure time and can't get another one till tomorrow anyone have a place I can stay tonight? I'll smoke you out fat <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BC><ed><U+00BC><U+00AC> like at this point idc if it's a floor I leave tomorrow morning! Help!
male,Showtek was dope af!
male,How i felt after i saw datsik on day 2
female,Somebody who is going from Las Vegas to LA tomorrow and wants to share a ride?;)
female,"When I wsa first heard about this battery reconding program I thought it was fake. But when I was start to using this program step by step I reconditioned my 10 dead old batteries.I was surprised and save my money Over $1000.More details go here >> "
male,"Very Disappointed!   Was going to get married there so we purchased VIP tickets which included our own personal locker.   When we got there, they told us we couldn't have a locker because they were somehow over booked.  Then we went over to EDC town where there Chapel's were and we noticed that the Chapel we had scheduled to get married in, the lights were not working.  Then on top of that, The Shuttles were an absolute nightmare.   Very poorly ran.   Expected better from Insomniac!   Needless to say,  we got married somewhere else."
male,did I not get the memo about the glitter beards!? I saw like 100 dudes with them lmao
male,Looking for a ride back to the airport that is extremely affordable and has a charging station inside? Order yourself a Lyft with this promo code EDVVEGAS2017
male,EDC at its finest lmao.  #fuckgettingahotelilljustcrashhereonthistrashcan
male,Who's ready to hit the studio?
female,"Tips for next years edc. 1. If u leave the speedway at the same time as everyone else don't complain about how long the shuttle or car lines are. LEAVE EARLIER! If u don't mind waiting in long lines then fuck it stay till the end. 2. Just cause u have vip doesn't mean ur the only one. 100's of people have VIP as well so don't expect to get special treatment. 3. Don't buy tickets or drugs from strangers bring all ur shit from home.4. Don't complain about the heat incase u forgot we're in vegas it get hot here even at night.5. Shuttle lines weren't that bad this year atleast they were moving.6. The shuttle rides can be boring if u let them. Use this time to meet new people, play games, sing songs.7. If u see someone in need say something!8. Keep hydrated! 9. There's gonna be atleast one or two hip hop artist if u don't like it there other Dj's playing. (Didn't seen dj Khaled by the way) With that said my edc this year was dope aside from a few little things. Like my ankle twisting day one on the way to the speedway. I had a good edc"
male,Looking for a ride back to the airport that is extremely affordable and has a charging station inside? Order yourself a Lyft with this promo code!
male,Looking for a ride back to the airport that is extremely affordable and has a charging station inside? Order yourself a Lyft with this promo code!
female,What a night!!!
female,"Bought two tickets yesterday for 500, we were able to get in EDC last night, me and my boyfriend didn't enjoy it, so we decided to sell them, i guess tickets didn't scan today.  Tried to contact her and her bf and she didn't answer us. Now I'm down 500 bucks plus the money I have to return to the people I sold them too. That's so shitty what kind of people do that? Like honestly I'm sure your parents didn't raise no animal thanks to ""Jessica Rodriguez"" for fucking us over."
female,Had the time of my Life!!!! Married my best friend and went to the festival of my dreams!!! Thank you baby and EDC!! We will be back!!!
male,"Solve ur post EDC blues with some episodes of Rave Train !!! <ed><U+00A0><U+00BD><ed><U+00B2><U+009B><ed><U+00A0><U+00BD><ed><U+00B2><U+0096><ed><U+00A0><U+00BD><ed><U+00B2><U+009C>Which sets was ur fav ?"
male,Looking for a ride back to the airport that is extremely affordable and has a charging station inside? Order yourself a Lyft with this promo code!
male,Looking for a ride back to the airport that is extremely affordable and has a charging station inside? Order yourself a Lyft with this promo code!
male,Hope everyone has a safe trip back home.
female,MONXX b2b Herobust <U+2620><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B6><U+00A4><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>
male,The festival was awesome! But the way to the uber's drop in was horrible so long! I think For Moises his crossing into the desert was not that hard!
male,Free guest lists available for my EDC family that is still in town! Any ratio any group size FREE on my guest list. Text me at 702-305-1020
male,"Selling 3 male, one female diplo ticket for XS tonight."
female,"Is there a reason why everyone is selling their wristband for Sunday? I'm outta the loop."
female,"Now kids, have you learned your lesson? No buying tickets from strangers. Lol shady fucken people."
male,Follow the official EDC Babes Snapchat for rave girls and after parties. Please submit your pictures for a chance to win the rave girl of EDC2017!!!
male,Follow the official EDC Babes Snapchat for rave girls and after parties. Please submit your pictures for a chance to win the rave girl of EDC2017!!!
male,Looking for a ride back to the airport that is extremely affordable and has a charging station inside? Order yourself a Lyft with this promo code!
male,"In Case nobody knew , I was the one in the black shirt that said "" off the wall since 66 "" on the back of my shirt . . . . . Add me if you saw me <ed><U+00A0><U+00BE><ed><U+00B4><U+0094><ed><U+00A0><U+00BD><ed><U+00B1><U+0080>"
male,Fuck me- the shuttle line at 4am was a joke so we went to catch an Uber. Nobody told us we signed up for the EDC marathon. Does anyone know where we collect our finish times from? Thanks.
male,Anyone have space at their hotel for two on Monday night into Tuesday? Will pay.
female,Who needs a ride back to cali giving rides back 40 per person
female,"Even my cute marshmellow outfit fits wasteland when gammer played!!!. Thank you so much guys for those people who appreciates my outfit im so overwhelmed!!!!See you next year under the electric sky again!!!Hoping for DEADMAU5 next year!!"
male,Always surround yourself with good vibes! Until next time.
male,Any one have a 3 some while in edc?
female,"VIP wristband$260 - Circus Circus Las Vegas Hotel & Casino2 VIP wristband and Festival Grounds shuttle pass $300 OBO at Circus Circus."
female,Day 3 lets go
male,"Anyone at encore, Wynn, pallazo and Venetian want to hangout?"
male,All my fucked up ravers!!! Show me love and help me win this Dillon Francis remix comp! FREE MERCH if I win! Be safe my people!!! Much LOVE & PLUR!
female,I need 3 wristbands
male,Be sure to download Lyft from the app store and enter code EDCVEGAS2017 for large discounts on rides and  avoid crazy shuttle lines all while having the pleasure of arriving  with a fully charged phone!
female,GOT 2 VIP WRISTBANDS & 2 linq shuttle for sale
female,My entire group have decided to not go last day. Selling 6- first come first serve
male,Wow 1 min waiting at the village/luxor shuttle just wow...
female,Edc day 3... cya at marshmello!
female,"Thank you to the amazing people who gave me water and air.. I'm so sorry for making the shuttle stop! Ended up at the hospital >< back to the hotel to drink lots of water, eat and then make the trip back to edc!!! Can't miss the last night! Plus we left our bag in the locker >< <U+2764><U+FE0F><U+2764><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B2><U+008B><ed><U+00A0><U+00BD><ed><U+00B2><U+008B><ed><U+00A0><U+00BD><ed><U+00B2><U+008B><ed><U+00A0><U+00BD><ed><U+00B2><U+008B><U+2764><U+FE0F><U+2764><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B2><U+008B><ed><U+00A0><U+00BD><ed><U+00B2><U+008B><ed><U+00A0><U+00BD><ed><U+00B2><U+008B> much love to the amazing peeps that helped me! Again super sorry!! B.c girl can't handle heat ><"
male,"Last minute Sunday band GA available. I'm on the strip, can meet as well, or at EDC. $50"
male,"Day 3 is a solo trip, hopefully I'll connect with some beautiful souls there."
male,Waited less than 5mn to get on shuttle....perfect
male,Be sure to download Lyft from the app store and enter code EDCVEGAS2017 for large discounts on rides and  avoid crazy shuttle lines all while having the pleasure of arriving  with a fully charged phone!
male,Anybody want to meet up and trade kandi tonight???
female,Looking for three EDC tickets for tonight
male,"hello humans i am also a human, looking for a wristband for tonight. help me out <ed><U+00A0><U+00BD><ed><U+00B2><U+009C>"
male,Looking for two EDC tickets! Paying $125 each
male,"Going on hour 3 getting out the premier parking. It's taken 3hrs to get from my parking spot to Hollywood Blvd. This is the most fd up situation!! Nobody directing the traffic in the parking lot, it's a free for all."
male,Anyone selling legit tickets?
male,Be sure to download Lyft from the app store and enter code EDCVEGAS2017 for large discounts on rides and  avoid crazy shuttle lines all while having the pleasure of arriving  with a fully charged phone!
male,Last call I can take a group of up to 11 people in my passenger van. Leaving strip in 20 mins! Message me :)
female,I have one for sale
male,This keeps popping up on my feed. Passing it along for anyone that needs it <ed><U+00A0><U+00BE><ed><U+00B4><U+00A3>
female,"Selling one Sunday ticket. Can meet on strip$120"
male,Looking for up to two Sunday wristbands! Paying $100 a wristband!
male,"I have a passenger van, a few of us going I can take 11 more if interested message for details :)"
male,"After the bull shit it took to get in tonight if you can get it off me my wristband for tomorrow is for sale, make an offer, I'll let you take a pic of my license or what ever you want I'm just not coming back to this shit show"
female,"saw a group called "" edc FP 2017"" . Seems really cool. Anyone knows how to contact them"
female,"Hi everyone <ed><U+00A0><U+00BD><ed><U+00B2><U+0099> I am a part of a FB group called Las Vegas Painted Rocks & I painted some EDC inspired rocks :) I would like to hide for you guys to find while you're in Vegas, but I will also meet to trade ( for kandi, name of your fave song, whatever :) ).I am still painting, does anyone have requests, ideas, etc.?"
female,Looking for 2 sunday wristbands! Trying to let my friends experience EDC for their first time! Help us out please<ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B2><U+0095>
female,just looking for one Sunday wristband  :) plz thx
female,Anyone selling a Sunday wristband. Just need one.
female,"edc shuttle passes$30Have 3 edc shuttle passes for the sold out village line. $30 each or best offer!!"
female,I need 2 tickets to edc sunday
female,How much is Uber to EDC? Fuck the shuttles
male,We need 2 wristbands for tonight. Anyone selling them? Thank you
male,"3 wristbands$200 - Valley Center, CA3 wristbands for sale about to leave my hotel $200 each"
female,"EDC Juggling Taxi hat , EDC if your in down Monday night at D Casino Jokesters Comedy Club June 19. Keith Lyle Dee Brooks"
female,+1 (310) 403-2751 Text if you have an edc. Ticket for sale. En route to the speedway now text with price asap!!
male,"Any rides to edc today , willing to roll blunts for ride for 2 ppl"
male,"Free guest lists available for tonight and tomorrow Day 7023051020 Free entry any ratio on my list. Hit me up"
male,Need a ticket ! Please help!!
male,"Free Rider Credit from Lyft!https://www.lyft.com/invite/THERON537188First Time Riders only!"
male,Be sure to download Lyft from the app store and enter code EDCVEGAS2017 for large discounts on rides and  avoid crazy shuttle lines all while having the pleasure of arriving  with a fully charged phone!
female,"Bought two tickets from her Friday for 500, we were able to get in EDC Friday with no issue, me and my boyfriend didn't enjoy it, so we decided to sell the tickets ,i guess tickets didn't scan for Saturday , Tried to contact her and her bf and she didn't answer us. Apparently she reported the tickets stolen and was able to get new ones. Now I'm down 500 bucks plus the money I have to return to the people I sold them too. That's so shitty what kind of people do that? Like honestly I'm sure your parents didn't raise no animal thanks to ""Jessica Rodrigues"" for fucking us over. PLEASE HELP ME SPAM HER INSTAGRAM."
male,When life gets rough lol
male,Post your snapchat name here mine is gremlin9909 let's see them EDCLV videos and pictures also of your outfit of the day
female,"2 VIP tickets$500 - Vancouver, WA2 VIP tickets for $500"
female,"tickets$100 - Hermosa Beach, CAI have 2 EDC tickets for sale tonight!!! Who wants em??? $100 each. I'm at Monte Carlo hotel right by MGM and Paris hotel."
female,Looking to pick up 2 tickets round 10 pm.
female,Now looking for 4 Sunday passes for my friends. We're behind the Encore.
male,"Premier shuttle passes for$150 - San Francisco, CATwo Premier shuttle passes for sale. 150 bucks for both. Come get them from me at the Mirage."
male,Need 2 Sunday wristbands!  Got 200$ for both
female,DM
male,Need two vip edc tickets in box me
female,Looking for Sunday tickets!
female,Anyone near Luxor selling 2 wristbands together? Not looking for shuttle or bus passes...
female,Selling 2 shuttle passes for Today (Sunday) 30.00 each or hmu !
male,"I kicked a guy in the shin yesterday while raging said sorry, he shook my hand and we kept raging. Dude was cool as shit. <ed><U+00A0><U+00BE><ed><U+00B4><U+0097>. Another apology to you my friend."
male,2 shuttle passes leaving festival ground both for 59
male,Sunday Pass + Vegas Village Shuttle $120 - Meet up by Delano suites.
female,Where's Molly!??
female,"one Linq Shuttle Pass$20Selling one Linq Shuttle Pass $20"
male,"Final day, Metro booming want some more <ed><U+00A0><U+00BD><ed><U+00B8><U+008E>"
female,"EDC Sunday pass with Village shuttle.$120 - Schiller Park, ILSunday pass for sale with Vegas Village shuttlepass for $120. - Meet up by Delano"
male,"One GA wristband$150One GA wristband for Sunday with linq shuttle pass for $150. Message me. Can meet up around linq"
male,Be sure to download Lyft from the app store and enter code EDCVEGAS2017 for large discounts on rides and  avoid crazy shuttle lines all while having the pleasure of arriving  with a fully charged phone!
male,Selling 1 edc wrist band..pm me for more info
male,<U+274C>Looking for 5 EDC Tickets!!<U+274C>
female,Looking for 6 Edc tickets for today !
male,"EDC shuttle passes (2) Village$50 - Ceaser's PalaceTwo shuttle passes both for $50"
female,"(SOLD) passes for$300 - Chickasha, OKI have two passes for tonight (Sunday <ed><U+00A0><U+00BD><ed><U+00B8><U+009C>) $250 for both. Also have 2 shuttle passes, $300 for all of it. Pm me plz"
male,Anyone selling 4 tickets for today ?? Is so hmu please
male,"Village Shuttle pass$30 - New York - New York Hotel & Casino Las VegasLas Vegas Village Shuttle pass for sale. $30. Message me if interested. I'm in NY NY right now."
female,"Adventure Club$25 - The Venetian Las VegasSelling Adventure Club for $30 hmu"
male,Last call to party yall tree nd Telsa's <ed><U+00A0><U+00BD><ed><U+00B2><U+008A><ed><U+00A0><U+00BD><ed><U+00B2><U+008A><ed><U+00A0><U+00BD><ed><U+00B2><U+008A>  few left . Get em before you hit traffic
male,Still needing 3 tickets to edc Sunday!!
female,Selling one Sunday wristband with Village Lot shuttle pass <ed><U+00A0><U+00BD><ed><U+00B2><U+0095><ed><U+00A0><U+00BD><ed><U+00B2><U+0095>
male,"GA tickets$150 - Green Bay, WIMy friend is selling 2 GA tickets for tonight, $150 each. Pm me if interested."
male,"Two Linq shuttle passes for sale, 1 or $30 or 2 for $50! DM me."
male,"I need Two Sunday tickets unregistered have cash, can come to you.. Pm me"
female,"cash money for$100 - Los Angeles, CA100 bucks cash money for one of them fancy edc bracelets  ;) hmu"
male,Looking for 4 edc tickets for Sunday!!!
female,Looking for 2 Sunday edc wristbands.
female,Selling our wristbands for today (Sunday) day 3 of EDC. HMU if interested.
female,Need two edc tickets for tonight and I'm able to pick up.
male,Anybody selling a ticket for tonight? Need one for my wife so we can renew our vows at the church tonight! Thanks!!! PLUR!!!
female,Looking for 4 edc tickets?
female,"two Sunday wristbands$140 - Arlington, TXSelling two Sunday wristbands $140"
female,still have 1 sunday pass with linq shuttle pass to go with it. hmu
male,Any Sunday passes for sale on the low  I'm in need of 4 Heeeelp please?
male,I have 1 Sunday GA ticket for sale hmu! I have 2 Linq Shuttle Pass also! Hmu with offers!
male,Hey anyone have taken a taxi/uber and how long it took I need to be there at 10 and shuttles doesn't seem too reliable
male,"I understand a lot of you are upset/mad at the long wait times for the shuttles and what not... Us Vets should have warned you 1st timers about that... because when they first started the shuttles Me & my Fam waited from 6 to dam near almost 10:45/11pm, after that first night of waiting we just took a Cab or Uber to the event & split the difference... I'm sorry this ruined your experience of EDC... but in the Future for those that decide to come back, it's better to go Late than Early. I missed Sat. Due to a slight mishap but I'll see y'all tonight..."
female,Two Linq shuttle passes for free. I'm at the cosmo right now if anyone is interesting.
male,2 Sunday tickets for sale
male,"premier shuttle passes$40 - Henderson, NVSelling two premier shuttle passes. $40 all together"
female,Still selling my Sunday ticket! Please message me off your intrested!!
female,Selling two Sunday GA pass with shuttle pass. Message me if interested.
female,Selling my ticket for tonight. So sore from dancing I don't think I can do another night lol
female,Anybody selling 3 Sunday passes ???
male,"edc wristband$130 - Las Vegas, NevadaSelling one edc wristband for 130 must pick up"
female,For Sale: Sunday GA + Linq Shuttle $180
female,Anyone selling their tickets??? I NEED 4!!!
male,2 shuttles for $60 HMU
female,"MGM Shuttle pass$50 - San Diego, CASelling 1MGM Shuttle pass and 1Village Shuttle Pass. 50$ each"
